"mtry" "ntree" "Accuracy"
"1" 1 100 0.970452380952381
"2" 1 200 0.98097619047619
"3" 1 300 0.977309523809524
"4" 1 400 0.980690476190476
"5" 1 500 0.981690476190476
"6" 1 600 0.977
"7" 1 700 0.978190476190476
"8" 1 800 0.977595238095238
"9" 1 900 0.977357142857143
"10" 1 1000 0.97747619047619
"11" 3 100 0.977690476190476
"12" 3 200 0.973309523809524
"13" 3 300 0.977642857142857
"14" 3 400 0.977357142857143
"15" 3 500 0.977166666666667
"16" 3 600 0.976214285714286
"17" 3 700 0.978238095238095
"18" 3 800 0.978595238095238
"19" 3 900 0.977595238095238
"20" 3 1000 0.975809523809524
"21" 4 100 0.962190476190476
"22" 4 200 0.974666666666667
"23" 4 300 0.973785714285714
"24" 4 400 0.970619047619048
"25" 4 500 0.977809523809524
"26" 4 600 0.978333333333333
"27" 4 700 0.971833333333333
"28" 4 800 0.974547619047619
"29" 4 900 0.975428571428571
"30" 4 1000 0.979357142857143
"31" 6 100 0.963928571428571
"32" 6 200 0.969309523809524
"33" 6 300 0.968428571428571
"34" 6 400 0.974333333333333
"35" 6 500 0.969452380952381
"36" 6 600 0.969928571428571
"37" 6 700 0.964690476190476
"38" 6 800 0.974952380952381
"39" 6 900 0.968761904761905
"40" 6 1000 0.969071428571429
"41" 7 100 0.960785714285714
"42" 7 200 0.962380952380952
"43" 7 300 0.968666666666667
"44" 7 400 0.964547619047619
"45" 7 500 0.966904761904762
"46" 7 600 0.969904761904762
"47" 7 700 0.967357142857143
"48" 7 800 0.970571428571429
"49" 7 900 0.976547619047619
"50" 7 1000 0.968190476190476
"51" 8 100 0.957761904761905
"52" 8 200 0.96052380952381
"53" 8 300 0.969309523809524
"54" 8 400 0.966357142857143
"55" 8 500 0.963190476190476
"56" 8 600 0.962428571428571
"57" 8 700 0.962666666666667
"58" 8 800 0.968571428571429
"59" 8 900 0.964714285714286
"60" 8 1000 0.963809523809524
"61" 10 100 0.952404761904762
"62" 10 200 0.954785714285714
"63" 10 300 0.96052380952381
"64" 10 400 0.95902380952381
"65" 10 500 0.957857142857143
"66" 10 600 0.966404761904762
"67" 10 700 0.96047619047619
"68" 10 800 0.9565
"69" 10 900 0.957904761904762
"70" 10 1000 0.955904761904762
"71" 11 100 0.956571428571429
"72" 11 200 0.958095238095238
"73" 11 300 0.958333333333333
"74" 11 400 0.950404761904762
"75" 11 500 0.955666666666667
"76" 11 600 0.959214285714286
"77" 11 700 0.9525
"78" 11 800 0.96
"79" 11 900 0.959142857142857
"80" 11 1000 0.951214285714286
"81" 13 100 0.950023809523809
"82" 13 200 0.94652380952381
"83" 13 300 0.950690476190476
"84" 13 400 0.950142857142857
"85" 13 500 0.947904761904762
"86" 13 600 0.949261904761905
"87" 13 700 0.950547619047619
"88" 13 800 0.95047619047619
"89" 13 900 0.949928571428571
"90" 13 1000 0.954761904761905
"91" 14 100 0.946809523809524
"92" 14 200 0.951095238095238
"93" 14 300 0.953357142857143
"94" 14 400 0.953785714285714
"95" 14 500 0.948428571428571
"96" 14 600 0.951309523809524
"97" 14 700 0.945928571428571
"98" 14 800 0.947833333333333
"99" 14 900 0.949833333333333
"100" 14 1000 0.943952380952381
